Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2019-05-13 08:45:17,1,0.100774,0.056643,0.481066,0.869028,0.0
2019-05-13 08:45:17,102,0.093649,0.05588,0.494657,0.862218,0.0
2019-05-13 08:45:17,201,0.080233,0.064497,0.498262,0.860893,0.0
2019-05-13 08:45:17,301,0.077483,0.063365,0.504081,0.857836,0.0
2019-05-13 08:45:18,401,0.088842,0.061839,0.50521,0.85618,0.0
2019-05-13 08:45:18,502,0.105254,0.036234,0.497834,0.860098,0.0
2019-05-13 08:45:18,601,0.110966,0.027325,0.493917,0.861965,0.0
2019-05-13 08:45:18,701,0.149647,0.024074,0.480272,0.863923,0.0
2019-05-13 08:45:18,802,0.212099,0.022346,0.449056,0.867676,0.0
2019-05-13 08:45:18,901,0.209298,0.09173,0.45039,0.863092,0.0
2019-05-13 08:45:18,1001,0.195814,0.132976,0.460082,0.855744,0.0
2019-05-13 08:45:18,1102,0.227731,0.116561,0.452266,0.854404,0.0
2019-05-13 08:45:18,1201,0.232291,0.07081,0.454929,0.856776,0.0
2019-05-13 08:45:18,1301,0.208818,0.084676,0.485608,0.844635,0.0
2019-05-13 08:45:19,1401,0.190163,0.103727,0.507103,0.834221,0.0
2019-05-13 08:45:19,1501,0.218744,0.11297,0.513066,0.822283,0.0
2019-05-13 08:45:19,1601,0.27496,0.079294,0.483417,0.827294,0.0
2019-05-13 08:45:19,1701,0.260162,0.099352,0.439132,0.85417,0.0
2019-05-13 08:45:19,1802,0.229338,0.111505,0.468764,0.845712,0.0
2019-05-13 08:45:19,1901,0.173534,0.174701,0.511365,0.823329,0.0
2019-05-13 08:45:19,2001,0.174823,0.20377,0.510531,0.816866,0.0
2019-05-13 08:45:19,2101,0.185463,0.228642,0.510876,0.80767,0.0
2019-05-13 08:45:19,2201,0.180425,0.20677,0.528679,0.803237,0.0
2019-05-13 08:45:19,2301,0.200569,0.146556,0.547865,0.798834,0.0
2019-05-13 08:45:20,2401,0.235608,0.085441,0.55875,0.790561,0.0
2019-05-13 08:45:20,2501,0.233562,0.063601,0.570087,0.785113,0.0
2019-05-13 08:45:20,2602,0.196719,0.072541,0.574139,0.791456,0.0
2019-05-13 08:45:20,2701,0.205888,0.080418,0.570107,0.791277,0.0
2019-05-13 08:45:20,2801,0.181801,0.126938,0.560425,0.797971,0.0
2019-05-13 08:45:20,2902,0.159376,0.179958,0.547775,0.801346,0.0
2019-05-13 08:45:20,3001,0.128196,0.230804,0.548755,0.793197,0.0
2019-05-13 08:45:20,3101,0.127347,0.303143,0.545943,0.770605,0.0
2019-05-13 08:45:20,3202,0.12705,0.326502,0.535817,0.768214,0.0
2019-05-13 08:45:20,3301,0.132534,0.320188,0.545002,0.763469,0.0
2019-05-13 08:45:21,3404,0.169599,0.239332,0.552435,0.780237,0.0
2019-05-13 08:45:21,3502,0.188554,0.183699,0.553868,0.789893,0.0
2019-05-13 08:45:21,3601,0.219652,0.110881,0.546303,0.800631,0.0
2019-05-13 08:45:21,3701,0.232665,0.059569,0.528502,0.81425,0.0
2019-05-13 08:45:21,3801,0.147766,-0.003008,0.582511,0.799272,0.0
2019-05-13 08:45:21,3902,0.222523,-0.003713,0.5484,0.806055,0.0
2019-05-13 08:45:21,4001,0.278827,-0.018817,0.507817,0.814875,0.0
2019-05-13 08:45:21,4101,0.314794,-0.012137,0.480999,0.818166,0.0
2019-05-13 08:45:21,4201,0.377569,0.00252,0.449836,0.809371,0.0
2019-05-13 08:45:21,4302,0.377322,0.046016,0.447977,0.809213,0.0
2019-05-13 08:45:22,4402,0.364994,0.07905,0.460684,0.805171,0.0
2019-05-13 08:45:22,4501,0.302255,0.115355,0.49512,0.806344,0.0
2019-05-13 08:45:22,4601,0.21124,0.145877,0.524525,0.811769,0.0
2019-05-13 08:45:22,4702,0.173419,0.144821,0.544021,0.808079,0.0
2019-05-13 08:45:22,4801,0.193497,0.127329,0.546289,0.804931,0.0
2019-05-13 08:45:22,4901,0.219175,0.11527,0.527019,0.812973,0.0
2019-05-13 08:45:22,5002,0.20559,0.086646,0.496337,0.838972,0.0
2019-05-13 08:45:22,5101,0.202813,0.09254,0.487316,0.844289,0.0
2019-05-13 08:45:22,5201,0.215283,0.100272,0.463881,0.85347,0.0
2019-05-13 08:45:22,5302,0.219511,0.113001,0.438869,0.863967,0.0
2019-05-13 08:45:23,5401,0.222974,0.127238,0.432318,0.864403,0.0
2019-05-13 08:45:23,5501,0.226575,0.133063,0.432791,0.862351,0.0
2019-05-13 08:45:23,5601,0.209745,0.135746,0.446971,0.85895,0.0
2019-05-13 08:45:23,5701,0.201682,0.139248,0.465485,0.850445,0.0
2019-05-13 08:45:23,5801,0.213487,0.142543,0.477111,0.840517,0.0
2019-05-13 08:45:23,5901,0.229891,0.134836,0.474038,0.8392,0.0
2019-05-13 08:45:23,6002,0.23557,0.123375,0.445167,0.85505,0.0
2019-05-13 08:45:23,6101,0.204342,0.114733,0.427215,0.87325,0.0
2019-05-13 08:45:23,6201,0.221649,0.087229,0.418108,0.876611,0.0
2019-05-13 08:45:23,6301,0.250034,0.102385,0.405867,0.873081,0.0
2019-05-13 08:45:24,6402,0.334289,0.126216,0.398645,0.844631,0.0
2019-05-13 08:45:24,6501,0.366138,0.154,0.398867,0.826517,0.0
2019-05-13 08:45:24,6601,0.346021,0.167846,0.413266,0.825413,0.0
2019-05-13 08:45:24,6702,0.322355,0.171124,0.431839,0.824814,0.0
2019-05-13 08:45:24,6801,0.301206,0.18131,0.446165,0.823005,0.0
2019-05-13 08:45:24,6901,0.305989,0.171069,0.460361,0.815581,0.0
2019-05-13 08:45:24,7001,0.297193,0.15706,0.465498,0.81873,0.0
2019-05-13 08:45:24,7102,0.298674,0.120347,0.450325,0.832776,0.0
